"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.970990260E2,6.500575263E1,2.547488183E1,5.596208857E0,1.750000000E0,3.057999878E2,3.790092468E0,2.500000000E0
1.980990829E2,6.500576058E1,2.547483873E1,5.731884227E0,1.740000010E0,3.021000061E2,3.790092468E0,2.500000000E0
1.990990745E2,6.500576733E1,2.547479815E1,5.780218903E0,1.759999990E0,2.992000122E2,3.790092468E0,2.500000000E0
2.000991845E2,6.500577391E1,2.547475973E1,5.719239817E0,1.799999952E0,3.002999878E2,3.790092468E0,2.500000000E0
2.010994355E2,6.500578105E1,2.547471957E1,5.023555817E0,1.789999962E0,3.015000000E2,3.790092468E0,2.500000000E0
2.020994592E2,6.500578806E1,2.547468091E1,4.654471085E0,1.799999952E0,2.995000000E2,3.790092468E0,2.500000000E0
2.030987555E2,6.500579567E1,2.547464390E1,4.103684573E0,1.799999952E0,3.056000061E2,3.790092468E0,2.500000000E0
2.040988202E2,6.500580368E1,2.547460749E1,3.661296387E0,1.870000005E0,3.051000061E2,3.790092468E0,2.500000000E0
2.050991185E2,6.500581226E1,2.547457219E1,4.250646340E0,1.870000005E0,3.073999939E2,3.790092468E0,2.500000000E0
2.060991838E2,6.500582138E1,2.547453577E1,4.283721603E0,1.879999995E0,3.073999939E2,3.790092468E0,2.604753971E0
2.070989679E2,6.500583048E1,2.547449725E1,3.985619979E0,1.889999986E0,3.057000122E2,3.790092468E0,2.702857733E0
2.080988704E2,6.500583828E1,2.547445801E1,3.913776120E0,1.909999967E0,3.026000061E2,3.790092468E0,2.731545925E0
2.090988317E2,6.500584610E1,2.547442068E1,4.011488041E0,1.899999976E0,3.042999878E2,3.790092468E0,2.746142149E0
2.100986824E2,6.500585304E1,2.547438673E1,3.460518871E0,1.779999971E0,3.071000061E2,3.790092468E0,2.611492634E0
